filename,num_words,ttr,gawl,gfw,big,trig,bignofun,trignofun,pos
Aces__Adventures.txt,41,0.975609756097561,5.853658536585366,unlike | tree | tackle | strategic | save | runs | rpg | procedurally-generated | powerful | poker-powered,your deck | with powerful | with pokerpowered | unlike any | tree or | to save | through 13 | this strategic | the life | tackle procedurallygenerated,your deck combining | with powerful ability | with pokerpowered combat | unlike any other | tree or tackle | to save the | through 13 fullyvoiced | this strategic deckbuilder | the life tree | tackle procedurallygenerated runs,unlike other | unlike any | tree tackle | tree or | tackle procedurallygenerated | strategic deckbuilder | save the | save life | runs this | runs strategic,your deck combining | with powerful ability | with pokerpowered combat | unlike unlike other | tree tree tackle | to save the | through 13 fullyvoiced | this strategic deckbuilder | the life tree | tackle procedurallygenerated runs,NNP | JJ | NN | IN | NNS | DT | VBG | VB | CC | VBZ
Across_the_Obelisk.txt,51,0.8627450980392157,4.862745098039215,three | tactical | set | senenthia | save | roguelite | quest | powerful | power | plot,your quest | your party’s | with up | where every | up to | to three | to save | to glory | three friends | the obelisk,your quest to | your party’s path | with up to | where every choice | up to three | to three friends | to save the | to glory and | three friends plot | the kingdom of,three friends | tactical combat | set forth | senenthia in | senenthia across | save the | save kingdom | roguelite deckbuilder | quest to | quest save,your quest to | your party’s path | with alone to | where every choice | up alone three | to three friends | to save the | to glory and | three friends plot | the kingdom of,NN | IN | NNP | JJ | DT | TO | NNS | PRP$ | CC | WRB
All_in_Abyss_Judge_the_Fake.txt,46,0.8260869565217391,5.282608695652174,gambling | witches | witch | win | thee | self-proclaimed | ruling | prodigy | power | poker,witches perish | witch ruling | win she | to win | to a | through poker | thee to | the witches | the witch | the gambling,witches perish i | witch ruling the | win she is | to win she | to a deathmatch” | thee to a | the witches perish | the witch ruling | the gambling district | she is defeated,witches perish | witch ruling | win she | win is | win defeated | thee to | thee deathmatch” | thee a | selfproclaimed gambling | ruling the,witches perish i | witch ruling the | win win is | to win she | to thee deathmatch” | thee thee a | the witches perish | the witch ruling | the gambling district | she win defeated,NN | DT | VBG | PRP | NNP | IN | CC | VBZ | VBP | VBN
Astrea_SixSided_Oracles.txt,42,0.8809523809523809,5.523809523809524,system | dice | corruption | “damage” | vs | using | unique | strong | star | script,“damage” system | vs corruption | using dice | unique dual | to purify | the star | the script | that flips | system purification | strong enough,“damage” system purification | vs corruption build | using dice instead | unique dual “damage” | to purify astreas | the star system | the script on | that flips the | system purification vs | system astrea is,“damage” system | vs corruption | using dice | unique dual | system purification | strong enough | star system | script on | script deckbuilders | save the,“damage” system purification | vs corruption build | using dice instead | unique dual “damage” | to purify astreas | the star system | the script on | that flips the | system purification vs | system astrea is,NNP | NN | JJ | DT | IN | VBZ | VB | RB | NNS | CC
Backpack_Battles.txt,18,1.0,5.388888888888889,pvp | powerful | management | items | inventory | craft | carefully | buy | battler | backpack,your backpack | then carefully | them in | pvp inventory | powerful items | management auto | items then | inventory management | in your | craft powerful,then carefully arrange | them in your | pvp inventory management | powerful items then | management auto battler | items then carefully | inventory management auto | in your backpack | craft powerful items | carefully arrange them,pvp inventory | powerful items | management auto | items then | items carefully | inventory management | craft powerful | carefully arrange | buy craft | buy and,then carefully arrange | them arrange your | pvp inventory management | powerful items then | management auto battler | items items carefully | inventory management auto | in arrange backpack | craft powerful items | carefully arrange them,NN | RB | NNP | VB | PRP$ | PRP | NNS | JJ | IN | DT
Backpack_Battles_Demo.txt,18,1.0,5.388888888888889,pvp | powerful | management | items | inventory | craft | carefully | buy | battler | backpack,your backpack | then carefully | them in | pvp inventory | powerful items | management auto | items then | inventory management | in your | craft powerful,then carefully arrange | them in your | pvp inventory management | powerful items then | management auto battler | items then carefully | inventory management auto | in your backpack | craft powerful items | carefully arrange them,pvp inventory | powerful items | management auto | items then | items carefully | inventory management | craft powerful | carefully arrange | buy craft | buy and,then carefully arrange | them arrange your | pvp inventory management | powerful items then | management auto battler | items items carefully | inventory management auto | in arrange backpack | craft powerful items | carefully arrange them,NN | RB | NNP | VB | PRP$ | PRP | NNS | JJ | IN | DT
Balatro.txt,23,0.9565217391304348,6.956521739130435,poker | trigger | satisfying | roguelike | play | outrageous | jokers | illegal | hypnotically | hands,you play | where you | trigger adrenalinepumping | the poker | satisfying deckbuilder | roguelike balatro | poker roguelike | poker hands | play illegal | outrageous combos,you play illegal | where you play | trigger adrenalinepumping outrageous | the poker roguelike | satisfying deckbuilder where | roguelike balatro is | poker roguelike balatro | poker hands discover | play illegal poker | jokers and trigger,trigger adrenalinepumping | the poker | satisfying deckbuilder | roguelike balatro | poker roguelike | poker hands | play illegal | outrageous combos | jokers trigger | jokers and,you play illegal | where deckbuilder play | trigger adrenalinepumping outrageous | the poker roguelike | satisfying deckbuilder where | roguelike balatro is | poker roguelike balatro | poker hands discover | play illegal poker | jokers jokers trigger,JJ | NN | VBZ | RB | NNS | DT | WRB | VBP | PRP | NNP
Beneath_Oresa.txt,36,0.8611111111111112,5.166666666666667,within | wisely | upgrades | turn | takes | strategist | roguelike | positioning | oresa | foes,as a | your foes | your cards | your advantage | you deep | within the | wisely but | upgrades and | turn their | to your,your foes as | your cards upgrades | you deep within | within the city | wisely but as | upgrades and artifacts | turn their positioning | to your advantage | to confront your | their positioning to,within the | within city | wisely fighter | wisely but | wisely as | wisely a | upgrades artifacts | upgrades and | turn their | turn positioning,your foes as | your cards upgrades | you deep within | within within city | wisely wisely as | upgrades upgrades artifacts | turn turn positioning | to positioning advantage | to confront your | their positioning to,NN | PRP$ | NNS | DT | IN | VBP | VB | TO | NNP | CC
Bingle_Bingle.txt,32,0.90625,5.40625,create | bingle | various | unique | synergies | strategically | scores | roulette | options | game,your own | you can | where you | various betting | unique balls | to create | the casino | synergies earn | strategically combine | scores and,your own roulette | you can create | where you can | various betting options | unique balls to | to create synergies | synergies earn extreme | strategically combine various | scores and beat | roulette strategically combine,various betting | unique balls | synergies earn | strategically combine | scores beat | scores and | roulette strategically | roulette builder | options unique | options and,your create roulette | you game create | where game can | various betting options | unique balls to | to create synergies | synergies earn extreme | strategically combine various | scores scores beat | roulette strategically combine,NNP | JJ | NNS | VB | NN | VBP | DT | CC | WRB | VBZ
Breachway.txt,38,0.9473684210526315,5.526315789473684,upgrades | turn-based | threats | take | survival | signal | ship | seek | sci-fi | roguelike,your survival | you seek | where ship | upgrades and | turnbased battles | to your | threats as | this deckbuilding | the signal | the galaxy,your survival optimize | you seek out | where ship upgrades | upgrades and crew | turnbased battles and | to your survival | threats as you | this deckbuilding scifi | the galaxy in | take on evergrowing,upgrades crew | upgrades and | turnbased battles | threats you | threats seek | threats as | the signal | take on | take evergrowing | survival optimize,your survival optimize | you seek out | where ship upgrades | upgrades upgrades crew | turnbased battles and | to key survival | threats threats you | this deckbuilding scifi | the galaxy in | take take evergrowing,NN | JJ | IN | NNS | DT | VBP | CC | WRB | VBG | VB
