filename,num_words,ttr,gawl,gfw,big,trig,bignofun,trignofun,pos
Acceleration_of_SUGURI_2.txt,20,0.9,6.3,suguri | universe | shoot'em'up | orange | lightning-paced | juice | featuring | favorite | duel-style | characters,the suguri | suguri universe | suguri 2 | shootemup from | orange juice | of suguri | lightningpaced duelstyle | juice featuring | is a | from the,universe acceleration of | the suguri universe | suguri 2 is | shootemup from orange | orange juice featuring | of suguri 2 | lightningpaced duelstyle shootemup | juice featuring all | is a lightningpaced | from the suguri,suguri universe | suguri 2 | shootemup orange | shootemup from | orange juice | lightningpaced duelstyle | juice featuring | featuring favorite | featuring all | favorite characters,universe acceleration of | the suguri universe | suguri 2 is | shootemup shootemup orange | orange juice featuring | of suguri 2 | lightningpaced duelstyle shootemup | juice featuring all | is 2 lightningpaced | from orange juice,NNP | NN | JJ | IN | DT | VBZ | VBG | NNS | CD
Anomaly_Agent.txt,42,0.8571428571428571,5.595238095238095,story | world | time-bending | synthwave | stop | soundtrack | shoot | quirky | punch | plunges,your choices | world plunges | with your | timebending story | through mobs | the world | the story | the anomalies | synthwave soundtrack | story with,your choices and | world plunges into | with your choices | timebending story quirky | through mobs of | the world plunges | the story with | the anomalies before | synthwave soundtrack punch | story with your,world plunges | timebending story | synthwave soundtrack | story your | story with | story quirky | story choices | stop the | stop anomalies | soundtrack punch,your choices and | world plunges into | with story choices | timebending story quirky | through mobs of | the world plunges | the story with | the anomalies before | synthwave soundtrack punch | story story your,NN | DT | IN | NNS | NNP | JJ | CC | VBZ | VBP | VBN
BlazBlue_Centralfiction.txt,38,0.8421052631578947,5.2368421052631575,blazblue | world | visual | truth | support | serves | series | saga | revealing | novel,with massive | with a | visual novel | truth of | to the | the world | the latest | the hidden | the ending | the blazblue,world combining a | with massive fan | with a visual | visual novel the | truth of the | to the azure | the latest installation | the hidden truth | the ending to | the blazblue series,visual novel | truth world | truth the | truth of | the latest | support the | serves the | serves ending | serves as | series continues,world combining a | with massive fan | with game visual | visual novel the | truth truth the | to ending azure | the latest installation | the hidden truth | the ending to | the blazblue series,NN | DT | NNP | IN | VBG | JJ | VBZ | VBD | TO | JJS
BlazBlue_Chronophantasma_Extend.txt,21,0.9047619047619048,5.714285714285714,visual | sixth | series | novel | installment | game | fighting | extend | combination | chronophantasma,visual novel | the sixth | the blazblue | sixth installment | series a | of the | of 2d | is the | installment of | game and,the sixth installment | the blazblue series | sixth installment of | series a combination | of the blazblue | of 2d fighting | novel blazblue chronophantasma | is the sixth | installment of the | game and visual,visual novel | sixth installment | series combination | series a | installment the | installment of | installment blazblue | game visual | game and | fighting action,the sixth installment | the blazblue series | sixth installment of | series series combination | of installment blazblue | of 2d fighting | novel blazblue chronophantasma | is extend sixth | installment installment the | game game visual,NN | NNP | DT | JJ | IN | VBZ | VBG | POS | CD | CC
BlazBlue_Continuum_Shift_Extend.txt,46,0.8913043478260869,5.456521739130435,blazblue | story | status | solidify | shift | second | scenarios | playable | one | number,to further | the second | the critically | the blazblue | the alltime | story scenarios | status as | solidify its | shift extend | second entry,to further enhance | the second entry | the critically acclaimed | the blazblue experience | the alltime great | story scenarios new | status as one | solidify its status | shift extend adds | second entry in,the second | story scenarios | status one | status as | solidify status | solidify its | shift extend | second entry | scenarios new | playable character,to character enhance | the second entry | the critically acclaimed | the blazblue experience | the alltime great | story scenarios new | status status one | solidify solidify status | shift extend adds | second entry in,NN | JJ | NNP | DT | NNS | IN | VB | CD | CC | VBZ
Bleak_Sword_DX.txt,22,0.9545454545454546,6.681818181818182,world | wielding | weaponry | powerful | pocket-sized | oppressive | magic | lofi | increasingly | horrifying,world wielding | wielding fierce | weaponry and | this pocketsized | powerful magic | pocketsized action | oppressive lofi | magic in | lofi world | increasingly horrifying,world wielding fierce | wielding fierce weaponry | weaponry and powerful | this pocketsized action | powerful magic in | pocketsized action adventure | oppressive lofi world | magic in this | lofi world wielding | increasingly horrifying creatures,world wielding | wielding fierce | weaponry powerful | weaponry and | powerful magic | pocketsized action | oppressive lofi | magic this | magic pocketsized | magic in,world wielding fierce | wielding fierce weaponry | weaponry weaponry powerful | this pocketsized action | powerful magic in | pocketsized action adventure | oppressive lofi world | magic magic this | lofi world wielding | increasingly horrifying creatures,NN | JJ | VBG | IN | DT | CC | VB | RB | NNS | NNP
Bopl_Battle.txt,49,0.8775510204081632,4.73469387755102,win | wild | well | unique | time | synergizes | stopping | stage | shrink | send,your friends | you battle | with unique | win the | wild abilities | where you | well to | unique and | to win | to the,your friends with | you battle your | with unique and | win the round | wild abilities there | where you battle | well to win | unique and wild | to win the | to the stage,win the | win round | wild abilities | well win | well to | unique wild | unique and | time attaching | time and | there many,your friends with | you battle your | with unique and | win win round | wild abilities there | where game battle | well well win | unique unique wild | to win the | to send it,NN | DT | JJ | VBG | NNS | TO | VB | PRP | IN | CC
Brawlhalla.txt,47,0.9361702127659575,5.170212765957447,players | xbox | updates | try | switch | steam | sixty | room | ranked | private,xbox nintendo | with millions | updates over | up to | try casual | to a | to 8 | switch ios | steam frequent | sixty legends,xbox nintendo switch | with millions of | updates over sixty | up to 8 | try casual freeforalls | to a private | to 8 players | switch ios android | steam frequent updates | room and its,xbox nintendo | updates over | try casual | switch ios | steam frequent | sixty legends | room and | ranked matches | private room | playstation xbox,xbox nintendo switch | with millions of | updates over sixty | up fighter 8 | try casual freeforalls | to friends private | to 8 players | switch ios android | steam frequent updates | room and it's,NNP | NNS | NN | IN | JJ | CC | TO | DT | VBZ | VBP
Byte_Breakers.txt,42,0.9047619047619048,5.0,zone | world | testing | standing | servers | royale | prototype | players | platform | north,zone while | world to | while battling | up and | to become | the world | the last | the encroaching | testing for | servers byte,zone while battling | world to become | while battling the | up and escape | to become the | the world to | the last duo | the encroaching glitch | testing for north | standing now in,zone while | zone battling | world to | world become | testing north | testing for | servers byte | royale for | royale 40 | prototype testing,zone zone battling | world world become | while battling the | up gear escape | to become the | the world to | the last duo | the encroaching glitch | testing testing north | standing now in,NN | VBG | JJ | DT | IN | VBP | VB | RB | NNS | VBZ
Capcom_Arcade_2nd_Stadium.txt,13,1.0,5.230769230769231,yesteryear | sonson | play | includes | hits | free | favorite | arcade,your favorite | yesteryear includes | sonson for | play more | of your | more of | includes sonson | hits from | from yesteryear | for free,your favorite arcade | yesteryear includes sonson | sonson for free | play more of | of your favorite | more of your | includes sonson for | hits from yesteryear | from yesteryear includes | free play more,yesteryear includes | sonson free | sonson for | play your | play of | play more | play favorite | includes sonson | hits yesteryear | hits from,your favorite arcade | yesteryear includes sonson | sonson sonson free | play play of | of play favorite | more play your | includes sonson for | hits hits yesteryear | from yesteryear includes | free play more,NNP | JJ | IN | PRP$ | NNS | NN | JJR
